"Year Month","State","Industry","Suspicious Activity","Count"
"2020 January","Arizona","Other","Other Fraud (Type)","2"
"2020 January","Arizona","Other","Wire","1"
"2020 January","Arizona","Other","[Total]","4"
"2020 January","Arizona","Securities/Futures","ACH","1"
"2020 January","Arizona","Securities/Futures","Check","3"
"2020 January","Arizona","Securities/Futures","Other Fraud (Type)","5"
"2020 January","Arizona","Securities/Futures","Securities","4"
"2020 January","Arizona","Securities/Futures","Wire","2"
"2020 January","Arizona","Securities/Futures","[Total]","15"
"2020 January","Arizona","[Total]","[Total]","884"
"2020 January","Arkansas","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","3"
"2020 January","Arkansas","Casino/Card Club - Tribal Authorized Casino","Wire","3"
"2020 January","Arkansas","Casino/Card Club - Tribal Authorized Casino","[Total]","6"
"2020 January","Arkansas","Depository Institution","ACH","13"
"2020 January","Arkansas","Depository Institution","Advance Fee","1"
"2020 January","Arkansas","Depository Institution","Business Loan","5"
"2020 January","Arkansas","Depository Institution","Check","113"
"2020 January","Arkansas","Depository Institution","Consumer Loan (see instructions)","2"
"2020 January","Arkansas","Depository Institution","Credit/Debit Card","15"
"2020 January","Arkansas","Depository Institution","Healthcare/Public or Private Health Insurance","1"
"2020 January","Arkansas","Depository Institution","Mass-Marketing","11"
"2020 January","Arkansas","Depository Institution","Other Fraud (Type)","27"
"2020 January","Arkansas","Depository Institution","Pyramid Scheme","1"
"2020 January","Arkansas","Depository Institution","Wire","17"
"2020 January","Arkansas","Depository Institution","[Total]","206"
"2020 January","Arkansas","Money Services Business (MSB)","Advance Fee","1"
"2020 January","Arkansas","Money Services Business (MSB)","Credit/Debit Card","3"
"2020 January","Arkansas","Money Services Business (MSB)","Other Fraud (Type)","76"
"2020 January","Arkansas","Money Services Business (MSB)","Wire","35"
"2020 January","Arkansas","Money Services Business (MSB)","[Total]","115"
"2020 January","Arkansas","Securities/Futures","ACH","1"
"2020 January","Arkansas","Securities/Futures","Other Fraud (Type)","1"
"2020 January","Arkansas","Securities/Futures","[Total]","2"
"2020 January","Arkansas","[Total]","[Total]","329"
"2020 January","California","Casino/Card Club - Card Club","Credit/Debit Card","8"
"2020 January","California","Casino/Card Club - Card Club","Other Fraud (Type)","1"
"2020 January","California","Casino/Card Club - Card Club","Wire","1"
"2020 January","California","Casino/Card Club - Card Club","[Total]","10"
"2020 January","California","Casino/Card Club - Tribal Authorized Casino","Check","13"
"2020 January","California","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","4"
"2020 January","California","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","20"
"2020 January","California","Casino/Card Club - Tribal Authorized Casino","Wire","16"
"2020 January","California","Casino/Card Club - Tribal Authorized Casino","[Total]","53"
"2020 January","California","Depository Institution","ACH","703"
"2020 January","California","Depository Institution","Advance Fee","15"
"2020 January","California","Depository Institution","Business Loan","67"
"2020 January","California","Depository Institution","Check","3,192"
"2020 January","California","Depository Institution","Consumer Loan (see instructions)","625"
"2020 January","California","Depository Institution","Credit/Debit Card","889"
"2020 January","California","Depository Institution","Healthcare/Public or Private Health Insurance","5"
"2020 January","California","Depository Institution","Mail","96"
"2020 January","California","Depository Institution","Mass-Marketing","184"
"2020 January","California","Depository Institution","Other Fraud (Type)","1,201"
"2020 January","California","Depository Institution","Ponzi Scheme","4"
"2020 January","California","Depository Institution","Pyramid Scheme","2"
"2020 January","California","Depository Institution","Securities","6"
"2020 January","California","Depository Institution","Wire","892"
"2020 January","California","Depository Institution","[Total]","7,881"
"2020 January","California","Insurance Company","Wire","5"
"2020 January","California","Insurance Company","[Total]","5"
"2020 January","California","Loan or Finance Company","ACH","20"
"2020 January","California","Loan or Finance Company","Check","26"
"2020 January","California","Loan or Finance Company","Consumer Loan (see instructions)","63"
"2020 January","California","Loan or Finance Company","Credit/Debit Card","3"
"2020 January","California","Loan or Finance Company","Healthcare/Public or Private Health Insurance","1"
"2020 January","California","Loan or Finance Company","Other Fraud (Type)","6"
"2020 January","California","Loan or Finance Company","Securities","3"
"2020 January","California","Loan or Finance Company","Wire","8"
"2020 January","California","Loan or Finance Company","[Total]","130"
"2020 January","California","Money Services Business (MSB)","ACH","790"
"2020 January","California","Money Services Business (MSB)","Advance Fee","25"
"2020 January","California","Money Services Business (MSB)","Business Loan","5"
"2020 January","California","Money Services Business (MSB)","Check","43"
"2020 January","California","Money Services Business (MSB)","Consumer Loan (see instructions)","13"
"2020 January","California","Money Services Business (MSB)","Credit/Debit Card","752"
"2020 January","California","Money Services Business (MSB)","Mail","1"
"2020 January","California","Money Services Business (MSB)","Other Fraud (Type)","1,236"
"2020 January","California","Money Services Business (MSB)","Ponzi Scheme","3"
"2020 January","California","Money Services Business (MSB)","Pyramid Scheme","6"
"2020 January","California","Money Services Business (MSB)","Securities","3"
"2020 January","California","Money Services Business (MSB)","Wire","436"
"2020 January","California","Money Services Business (MSB)","[Total]","3,313"
"2020 January","California","Other","ACH","19"
"2020 January","California","Other","Business Loan","30"
"2020 January","California","Other","Check","10"
"2020 January","California","Other","Consumer Loan (see instructions)","104"
"2020 January","California","Other","Credit/Debit Card","2"
"2020 January","California","Other","Mail","2"
"2020 January","California","Other","Mass-Marketing","1"
"2020 January","California","Other","Other Fraud (Type)","36"
"2020 January","California","Other","Securities","3"
"2020 January","California","Other","Wire","2"
"2020 January","California","Other","[Total]","209"
"2020 January","California","Securities/Futures","ACH","259"
"2020 January","California","Securities/Futures","Advance Fee","1"
"2020 January","California","Securities/Futures","Check","102"
"2020 January","California","Securities/Futures","Consumer Loan (see instructions)","24"
"2020 January","California","Securities/Futures","Credit/Debit Card","31"
"2020 January","California","Securities/Futures","Mail","5"
"2020 January","California","Securities/Futures","Mass-Marketing","4"
"2020 January","California","Securities/Futures","Other Fraud (Type)","93"
"2020 January","California","Securities/Futures","Securities","8"
"2020 January","California","Securities/Futures","Wire","73"
"2020 January","California","Securities/Futures","[Total]","600"
"2020 January","California","[Total]","[Total]","12,201"
"2020 January","Colorado","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","2"
"2020 January","Colorado","Casino/Card Club - Tribal Authorized Casino","Wire","2"
"2020 January","Colorado","Casino/Card Club - Tribal Authorized Casino","[Total]","4"
"2020 January","Colorado","Depository Institution","ACH","33"
"2020 January","Colorado","Depository Institution","Advance Fee","7"
"2020 January","Colorado","Depository Institution","Check","223"
"2020 January","Colorado","Depository Institution","Consumer Loan (see instructions)","17"
"2020 January","Colorado","Depository Institution","Credit/Debit Card","37"
"2020 January","Colorado","Depository Institution","Mail","12"
"2020 January","Colorado","Depository Institution","Mass-Marketing","23"
"2020 January","Colorado","Depository Institution","Other Fraud (Type)","64"
"2020 January","Colorado","Depository Institution","Ponzi Scheme","1"
"2020 January","Colorado","Depository Institution","Pyramid Scheme","2"
"2020 January","Colorado","Depository Institution","Securities","2"
"2020 January","Colorado","Depository Institution","Wire","53"
"2020 January","Colorado","Depository Institution","[Total]","474"
"2020 January","Colorado","Loan or Finance Company","Consumer Loan (see instructions)","2"
"2020 January","Colorado","Loan or Finance Company","Other Fraud (Type)","3"
"2020 January","Colorado","Loan or Finance Company","[Total]","5"
"2020 January","Colorado","Money Services Business (MSB)","ACH","217"
"2020 January","Colorado","Money Services Business (MSB)","Advance Fee","227"
"2020 January","Colorado","Money Services Business (MSB)","Credit/Debit Card","536"
"2020 January","Colorado","Money Services Business (MSB)","Other Fraud (Type)","2,839"
"2020 January","Colorado","Money Services Business (MSB)","Ponzi Scheme","2"
"2020 January","Colorado","Money Services Business (MSB)","Pyramid Scheme","2"
"2020 January","Colorado","Money Services Business (MSB)","Wire","3,292"
"2020 January","Colorado","Money Services Business (MSB)","[Total]","7,115"
"2020 January","Colorado","Other","Check","3"
"2020 January","Colorado","Other","Credit/Debit Card","1"
"2020 January","Colorado","Other","Mail","2"
"2020 January","Colorado","Other","Ponzi Scheme","1"
"2020 January","Colorado","Other","Securities","2"
"2020 January","Colorado","Other","Wire","1"
"2020 January","Colorado","Other","[Total]","10"
"2020 January","Colorado","Securities/Futures","ACH","5"
"2020 January","Colorado","Securities/Futures","Advance Fee","1"
"2020 January","Colorado","Securities/Futures","Check","17"
"2020 January","Colorado","Securities/Futures","Credit/Debit Card","2"
"2020 January","Colorado","Securities/Futures","Other Fraud (Type)","2"
"2020 January","Colorado","Securities/Futures","Wire","1"
"2020 January","Colorado","Securities/Futures","[Total]","28"
"2020 January","Colorado","[Total]","[Total]","7,636"
"2020 January","Connecticut","Depository Institution","ACH","32"
"2020 January","Connecticut","Depository Institution","Advance Fee","1"
"2020 January","Connecticut","Depository Institution","Check","194"
"2020 January","Connecticut","Depository Institution","Consumer Loan (see instructions)","3"
"2020 January","Connecticut","Depository Institution","Credit/Debit Card","19"
"2020 January","Connecticut","Depository Institution","Mail","5"
"2020 January","Connecticut","Depository Institution","Mass-Marketing","13"
"2020 January","Connecticut","Depository Institution","Other Fraud (Type)","38"
"2020 January","Connecticut","Depository Institution","Wire","23"
"2020 January","Connecticut","Depository Institution","[Total]","328"
"2020 January","Connecticut","Insurance Company","Other Fraud (Type)","1"
"2020 January","Connecticut","Insurance Company","[Total]","1"
"2020 January","Connecticut","Money Services Business (MSB)","Advance Fee","7"
"2020 January","Connecticut","Money Services Business (MSB)","Other Fraud (Type)","72"
"2020 January","Connecticut","Money Services Business (MSB)","Wire","36"
"2020 January","Connecticut","Money Services Business (MSB)","[Total]","115"
"2020 January","Connecticut","Other","ACH","1"
"2020 January","Connecticut","Other","Credit/Debit Card","1"
"2020 January","Connecticut","Other","Wire","1"
"2020 January","Connecticut","Other","[Total]","3"
"2020 January","Connecticut","Securities/Futures","ACH","6"
"2020 January","Connecticut","Securities/Futures","Check","6"
"2020 January","Connecticut","Securities/Futures","Credit/Debit Card","5"
"2020 January","Connecticut","Securities/Futures","Mail","4"
"2020 January","Connecticut","Securities/Futures","Other Fraud (Type)","8"
"2020 January","Connecticut","Securities/Futures","Ponzi Scheme","1"
"2020 January","Connecticut","Securities/Futures","Securities","2"
"2020 January","Connecticut","Securities/Futures","Wire","5"
"2020 January","Connecticut","Securities/Futures","[Total]","37"
"2020 January","Connecticut","[Total]","[Total]","484"
"2020 January","Delaware","Casino/Card Club - State Licensed Casino","Credit/Debit Card","2"
"2020 January","Delaware","Casino/Card Club - State Licensed Casino","[Total]","2"
"2020 January","Delaware","Depository Institution","ACH","603"
"2020 January","Delaware","Depository Institution","Business Loan","1"
"2020 January","Delaware","Depository Institution","Check","331"
"2020 January","Delaware","Depository Institution","Consumer Loan (see instructions)","7"
"2020 January","Delaware","Depository Institution","Credit/Debit Card","861"
"2020 January","Delaware","Depository Institution","Healthcare/Public or Private Health Insurance","3"
"2020 January","Delaware","Depository Institution","Mail","8"
"2020 January","Delaware","Depository Institution","Mass-Marketing","3"
"2020 January","Delaware","Depository Institution","Other Fraud (Type)","287"
"2020 January","Delaware","Depository Institution","Ponzi Scheme","1"
"2020 January","Delaware","Depository Institution","Securities","1"
"2020 January","Delaware","Depository Institution","Wire","39"
"2020 January","Delaware","Depository Institution","[Total]","2,145"
"2020 January","Delaware","Insurance Company","Wire","1"
"2020 January","Delaware","Insurance Company","[Total]","1"
"2020 January","Delaware","Loan or Finance Company","ACH","27"
"2020 January","Delaware","Loan or Finance Company","Consumer Loan (see instructions)","27"
"2020 January","Delaware","Loan or Finance Company","[Total]","54"
"2020 January","Delaware","Money Services Business (MSB)","Credit/Debit Card","2"
"2020 January","Delaware","Money Services Business (MSB)","Other Fraud (Type)","34"
"2020 January","Delaware","Money Services Business (MSB)","Securities","1"
"2020 January","Delaware","Money Services Business (MSB)","Wire","21"
"2020 January","Delaware","Money Services Business (MSB)","[Total]","58"
"2020 January","Delaware","Other","ACH","164"
"2020 January","Delaware","Other","Check","3"
"2020 January","Delaware","Other","Consumer Loan (see instructions)","6"
"2020 January","Delaware","Other","Credit/Debit Card","199"
"2020 January","Delaware","Other","Mail","2"
"2020 January","Delaware","Other","Other Fraud (Type)","139"
"2020 January","Delaware","Other","Wire","1"
"2020 January","Delaware","Other","[Total]","514"
"2020 January","Delaware","Securities/Futures","ACH","8"
"2020 January","Delaware","Securities/Futures","Business Loan","1"
"2020 January","Delaware","Securities/Futures","Check","7"
"2020 January","Delaware","Securities/Futures","[Total]","16"
"2020 January","Delaware","[Total]","[Total]","2,790"
"2020 January","District of Columbia","Depository Institution","ACH","14"
"2020 January","District of Columbia","Depository Institution","Advance Fee","1"
"2020 January","District of Columbia","Depository Institution","Business Loan","1"
"2020 January","District of Columbia","Depository Institution","Check","158"
"2020 January","District of Columbia","Depository Institution","Consumer Loan (see instructions)","3"
"2020 January","District of Columbia","Depository Institution","Credit/Debit Card","24"
"2020 January","District of Columbia","Depository Institution","Mail","3"
"2020 January","District of Columbia","Depository Institution","Mass-Marketing","8"
"2020 January","District of Columbia","Depository Institution","Other Fraud (Type)","34"
"2020 January","District of Columbia","Depository Institution","Wire","15"
"2020 January","District of Columbia","Depository Institution","[Total]","261"
"2020 January","District of Columbia","Money Services Business (MSB)","Advance Fee","1"
"2020 January","District of Columbia","Money Services Business (MSB)","Credit/Debit Card","1"
"2020 January","District of Columbia","Money Services Business (MSB)","Other Fraud (Type)","40"
"2020 January","District of Columbia","Money Services Business (MSB)","Wire","35"
"2020 January","District of Columbia","Money Services Business (MSB)","[Total]","77"
"2020 January","District of Columbia","Securities/Futures","ACH","1"
"2020 January","District of Columbia","Securities/Futures","Check","1"
"2020 January","District of Columbia","Securities/Futures","Other Fraud (Type)","2"
"2020 January","District of Columbia","Securities/Futures","Wire","2"
"2020 January","District of Columbia","Securities/Futures","[Total]","6"
"2020 January","District of Columbia","[Total]","[Total]","344"
"2020 January","Florida","Casino/Card Club - State Licensed Casino","Check","2"
"2020 January","Florida","Casino/Card Club - State Licensed Casino","Credit/Debit Card","3"
"2020 January","Florida","Casino/Card Club - State Licensed Casino","[Total]","5"
"2020 January","Florida","Casino/Card Club - Tribal Authorized Casino","Check","1"
"2020 January","Florida","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","1"
"2020 January","Florida","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","3"
"2020 January","Florida","Casino/Card Club - Tribal Authorized Casino","Wire","3"
"2020 January","Florida","Casino/Card Club - Tribal Authorized Casino","[Total]","8"
"2020 January","Florida","Depository Institution","ACH","206"
"2020 January","Florida","Depository Institution","Advance Fee","15"
"2020 January","Florida","Depository Institution","Business Loan","9"
"2020 January","Florida","Depository Institution","Check","2,611"
"2020 January","Florida","Depository Institution","Consumer Loan (see instructions)","33"
"2020 January","Florida","Depository Institution","Credit/Debit Card","319"
"2020 January","Florida","Depository Institution","Healthcare/Public or Private Health Insurance","11"
"2020 January","Florida","Depository Institution","Mail","33"
"2020 January","Florida","Depository Institution","Mass-Marketing","132"
"2020 January","Florida","Depository Institution","Other Fraud (Type)","641"
"2020 January","Florida","Depository Institution","Ponzi Scheme","2"
"2020 January","Florida","Depository Institution","Pyramid Scheme","3"
"2020 January","Florida","Depository Institution","Securities","2"
"2020 January","Florida","Depository Institution","Wire","286"
"2020 January","Florida","Depository Institution","[Total]","4,303"
"2020 January","Florida","Loan or Finance Company","Other Fraud (Type)","2"
"2020 January","Florida","Loan or Finance Company","[Total]","2"
"2020 January","Florida","Money Services Business (MSB)","Advance Fee","26"
"2020 January","Florida","Money Services Business (MSB)","Check","198"
"2020 January","Florida","Money Services Business (MSB)","Consumer Loan (see instructions)","90"
"2020 January","Florida","Money Services Business (MSB)","Credit/Debit Card","48"
"2020 January","Florida","Money Services Business (MSB)","Other Fraud (Type)","632"
"2020 January","Florida","Money Services Business (MSB)","Wire","401"
"2020 January","Florida","Money Services Business (MSB)","[Total]","1,395"
"2020 January","Florida","Other","Check","1"
"2020 January","Florida","Other","Consumer Loan (see instructions)","3"
"2020 January","Florida","Other","Credit/Debit Card","162"
"2020 January","Florida","Other","Other Fraud (Type)","2"
"2020 January","Florida","Other","Wire","1"
"2020 January","Florida","Other","[Total]","169"
"2020 January","Florida","Securities/Futures","ACH","94"
"2020 January","Florida","Securities/Futures","Check","18"
"2020 January","Florida","Securities/Futures","Credit/Debit Card","7"
"2020 January","Florida","Securities/Futures","Mail","4"
"2020 January","Florida","Securities/Futures","Other Fraud (Type)","10"
"2020 January","Florida","Securities/Futures","Ponzi Scheme","1"
"2020 January","Florida","Securities/Futures","Securities","1"
"2020 January","Florida","Securities/Futures","Wire","9"
"2020 January","Florida","Securities/Futures","[Total]","144"
"2020 January","Florida","[Total]","[Total]","6,026"
"2020 January","Georgia","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","2"
"2020 January","Georgia","Casino/Card Club - Tribal Authorized Casino","Wire","2"
"2020 January","Georgia","Casino/Card Club - Tribal Authorized Casino","[Total]","4"
"2020 January","Georgia","Depository Institution","ACH","143"
"2020 January","Georgia","Depository Institution","Advance Fee","10"
"2020 January","Georgia","Depository Institution","Business Loan","2"
"2020 January","Georgia","Depository Institution","Check","1,198"
"2020 January","Georgia","Depository Institution","Consumer Loan (see instructions)","29"
"2020 January","Georgia","Depository Institution","Credit/Debit Card","226"
"2020 January","Georgia","Depository Institution","Healthcare/Public or Private Health Insurance","2"
"2020 January","Georgia","Depository Institution","Mail","11"
"2020 January","Georgia","Depository Institution","Mass-Marketing","59"
"2020 January","Georgia","Depository Institution","Other Fraud (Type)","424"
"2020 January","Georgia","Depository Institution","Ponzi Scheme","2"
"2020 January","Georgia","Depository Institution","Pyramid Scheme","1"
"2020 January","Georgia","Depository Institution","Securities","3"
"2020 January","Georgia","Depository Institution","Wire","193"
"2020 January","Georgia","Depository Institution","[Total]","2,303"
"2020 January","Georgia","Loan or Finance Company","Consumer Loan (see instructions)","4"
"2020 January","Georgia","Loan or Finance Company","Other Fraud (Type)","4"
"2020 January","Georgia","Loan or Finance Company","[Total]","8"
"2020 January","Georgia","Money Services Business (MSB)","ACH","14"
"2020 January","Georgia","Money Services Business (MSB)","Advance Fee","10"
"2020 January","Georgia","Money Services Business (MSB)","Check","5"
"2020 January","Georgia","Money Services Business (MSB)","Credit/Debit Card","12"
"2020 January","Georgia","Money Services Business (MSB)","Other Fraud (Type)","312"
"2020 January","Georgia","Money Services Business (MSB)","Securities","1"
"2020 January","Georgia","Money Services Business (MSB)","Wire","142"
"2020 January","Georgia","Money Services Business (MSB)","[Total]","496"
"2020 January","Georgia","Other","ACH","1"
"2020 January","Georgia","Other","Check","1"
"2020 January","Georgia","Other","Credit/Debit Card","198"
"2020 January","Georgia","Other","Mass-Marketing","1"
"2020 January","Georgia","Other","Wire","5"
"2020 January","Georgia","Other","[Total]","206"
"2020 January","Georgia","Securities/Futures","Check","2"
"2020 January","Georgia","Securities/Futures","Credit/Debit Card","1"
"2020 January","Georgia","Securities/Futures","Other Fraud (Type)","2"
"2020 January","Georgia","Securities/Futures","Wire","3"
"2020 January","Georgia","Securities/Futures","[Total]","8"
"2020 January","Georgia","[Total]","[Total]","3,025"
"2020 January","Guam","Depository Institution","Check","16"
"2020 January","Guam","Depository Institution","Other Fraud (Type)","1"
"2020 January","Guam","Depository Institution","[Total]","17"
"2020 January","Guam","[Total]","[Total]","17"
"2020 January","Hawaii","Depository Institution","ACH","15"
"2020 January","Hawaii","Depository Institution","Advance Fee","11"
"2020 January","Hawaii","Depository Institution","Check","52"
"2020 January","Hawaii","Depository Institution","Consumer Loan (see instructions)","7"
"2020 January","Hawaii","Depository Institution","Credit/Debit Card","8"
"2020 January","Hawaii","Depository Institution","Other Fraud (Type)","16"
"2020 January","Hawaii","Depository Institution","Pyramid Scheme","1"
"2020 January","Hawaii","Depository Institution","Securities","1"
"2020 January","Hawaii","Depository Institution","Wire","10"
"2020 January","Hawaii","Depository Institution","[Total]","121"
"2020 January","Hawaii","Money Services Business (MSB)","Advance Fee","3"
"2020 January","Hawaii","Money Services Business (MSB)","Check","1"
"2020 January","Hawaii","Money Services Business (MSB)","Credit/Debit Card","1"
"2020 January","Hawaii","Money Services Business (MSB)","Other Fraud (Type)","42"
"2020 January","Hawaii","Money Services Business (MSB)","Wire","27"
"2020 January","Hawaii","Money Services Business (MSB)","[Total]","74"
"2020 January","Hawaii","[Total]","[Total]","195"
"2020 January","Idaho","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","2"
"2020 January","Idaho","Casino/Card Club - Tribal Authorized Casino","Wire","1"
"2020 January","Idaho","Casino/Card Club - Tribal Authorized Casino","[Total]","3"
"2020 January","Idaho","Depository Institution","ACH","3"
"2020 January","Idaho","Depository Institution","Check","28"
"2020 January","Idaho","Depository Institution","Consumer Loan (see instructions)","7"
"2020 January","Idaho","Depository Institution","Credit/Debit Card","6"
"2020 January","Idaho","Depository Institution","Mail","2"
"2020 January","Idaho","Depository Institution","Mass-Marketing","3"
"2020 January","Idaho","Depository Institution","Other Fraud (Type)","11"
"2020 January","Idaho","Depository Institution","Wire","7"
"2020 January","Idaho","Depository Institution","[Total]","67"
"2020 January","Idaho","Money Services Business (MSB)","Advance Fee","1"
"2020 January","Idaho","Money Services Business (MSB)","Check","2"
"2020 January","Idaho","Money Services Business (MSB)","Other Fraud (Type)","32"
"2020 January","Idaho","Money Services Business (MSB)","Wire","21"
"2020 January","Idaho","Money Services Business (MSB)","[Total]","56"
"2020 January","Idaho","[Total]","[Total]","126"
"2020 January","Illinois","Casino/Card Club - Card Club","Other Fraud (Type)","1"
"2020 January","Illinois","Casino/Card Club - Card Club","[Total]","1"
"2020 January","Illinois","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","5"
"2020 January","Illinois","Casino/Card Club - Tribal Authorized Casino","Wire","5"
"2020 January","Illinois","Casino/Card Club - Tribal Authorized Casino","[Total]","10"
"2020 January","Illinois","Depository Institution","ACH","125"
"2020 January","Illinois","Depository Institution","Advance Fee","6"
"2020 January","Illinois","Depository Institution","Business Loan","4"
"2020 January","Illinois","Depository Institution","Check","1,234"
"2020 January","Illinois","Depository Institution","Consumer Loan (see instructions)","45"
"2020 January","Illinois","Depository Institution","Credit/Debit Card","166"
"2020 January","Illinois","Depository Institution","Healthcare/Public or Private Health Insurance","3"
"2020 January","Illinois","Depository Institution","Mail","29"
"2020 January","Illinois","Depository Institution","Mass-Marketing","64"
"2020 January","Illinois","Depository Institution","Other Fraud (Type)","253"
"2020 January","Illinois","Depository Institution","Ponzi Scheme","1"
"2020 January","Illinois","Depository Institution","Wire","124"
"2020 January","Illinois","Depository Institution","[Total]","2,054"
"2020 January","Illinois","Insurance Company","Check","1"
"2020 January","Illinois","Insurance Company","Other Fraud (Type)","1"
"2020 January","Illinois","Insurance Company","[Total]","2"
"2020 January","Illinois","Loan or Finance Company","Check","1"
"2020 January","Illinois","Loan or Finance Company","Consumer Loan (see instructions)","1"
"2020 January","Illinois","Loan or Finance Company","Other Fraud (Type)","1"
"2020 January","Illinois","Loan or Finance Company","Wire","4"
"2020 January","Illinois","Loan or Finance Company","[Total]","7"
